iter	Passed	Remaining
470	1613	1812
471	1616	1808
472	1619	1804
473	1622	1800
474	1625	1797
475	1629	1793
476	1633	1791
477	1637	1788
478	1641	1785
479	1645	1782
480	1648	1778
481	1652	1775
482	1655	1771
483	1660	1769
484	1664	1767
485	1667	1764
486	1671	1761
487	1676	1758
488	1680	1756
489	1684	1753
490	1690	1752
491	1694	1749
492	1698	1746
493	1703	1745
494	1708	1743
495	1714	1742
496	1720	1741
497	1724	1738
498	1728	1735
499	1732	1732
500	1736	1729
501	1740	1726
502	1745	1725
503	1752	1724
504	1756	1721
505	1760	1718
506	1764	1715
507	1767	1712
508	1770	1708
509	1774	1704
510	1777	1701
511	1780	1697
512	1784	1693
513	1788	1691
514	1792	1687
515	1795	1684
516	1798	1680
517	1801	1676
518	1804	1672
519	1808	1669
520	1811	1665
521	1814	1661
522	1817	1657
523	1821	1654
524	1824	1650
525	1827	1646
526	1830	1643
527	1834	1639
528	1838	1636
529	1841	1633
530	1847	1631
531	1851	1628
532	1855	1625
533	1862	1625
534	1866	1622
535	1870	1618
536	1873	1615
537	1878	1613
538	1882	1610
539	1887	1608
540	1895	1608
541	1902	1607
542	1909	1606
543	1913	1604
544	1918	1601
545	1924	1600
546	1929	1598
547	1935	1596
548	1942	1596
549	1951	1596
550	1956	1594
551	1963	1593
552	1968	1591
553	1972	1588
554	1979	1587
555	1983	1584
556	1987	1581
557	1992	1578
558	1996	1575
559	2000	1571
560	2009	1572
561	2014	1570
562	2018	1566
563	2024	1564
564	2028	1562
565	2033	1559
566	2039	1557
567	2044	1554
568	2048	1551
569	2053	1549
570	2058	1546
571	2063	1543
572	2068	1541
573	2073	1538
574	2077	1535
575	2082	1533
576	2089	1531
577	2093	1528
578	2099	1526
579	2105	1524
580	2110	1521
581	2117	1520
582	2122	1517
583	2127	1515
584	2132	1513
585	2137	1510
586	2142	1507
587	2147	1504
588	2153	1502
589	2159	1500
590	2170	1502
591	2175	1499
592	2182	1498
593	2186	1494
594	2191	1491
595	2196	1489
596	2201	1486
597	2205	1482
598	2210	1479
599	2213	1475
600	2217	1471
601	2221	1468
602	2225	1465
603	2229	1461
604	2232	1457
605	2237	1454
606	2242	1452
607	2246	1448
608	2250	1445
609	2254	1441
610	2258	1437
611	2261	1433
612	2267	1431
613	2272	1428
614	2278	1426
615	2282	1422
616	2286	1419
617	2291	1416
618	2295	1413
619	2299	1409
620	2304	1406
621	2308	1403
622	2312	1399
623	2317	1396
624	2321	1393
625	2327	1390
626	2332	1387
627	2337	1384
628	2341	1380
629	2345	1377
630	2349	1373
631	2353	1370
632	2356	1366
633	2359	1362
634	2363	1358
635	2366	1354
636	2370	1350
637	2374	1347
638	2378	1343
639	2383	1340
640	2386	1336
641	2391	1333
642	2395	1329
643	2400	1326
644	2403	1323
645	2409	1320
646	2414	1317
647	2417	1313
648	2422	1310
649	2428	1307
650	2432	1303
651	2435	1299
652	2439	1296
653	2445	1293
654	2450	1290
655	2454	1287
656	2458	1283
657	2462	1280
658	2467	1276
659	2471	1273
660	2474	1269
661	2478	1265
662	2481	1261
663	2485	1257
664	2488	1253
665	2491	1249
666	2495	1245
667	2498	1241
668	2502	1238
669	2505	1234
670	2509	1230
671	2512	1226
672	2515	1222
673	2518	1218
674	2521	1214
675	2525	1210
676	2528	1206
677	2531	1202
678	2534	1198
679	2538	1194
680	2541	1190
681	2544	1186
682	2547	1182
683	2551	1178
684	2555	1175
685	2560	1171
686	2566	1169
687	2569	1165
688	2573	1161
689	2577	1157
690	2580	1154
691	2584	1150
692	2587	1146
693	2592	1142
694	2596	1139
695	2600	1135
696	2604	1132
697	2611	1129
698	2615	1126
699	2619	1122
700	2622	1118
701	2626	1114
702	2629	1110
703	2632	1106
704	2636	1103
705	2639	1099
706	2642	1095
707	2645	1091
708	2649	1087
709	2653	1083
710	2657	1080
711	2660	1076
712	2665	1073
713	2670	1069
714	2674	1066
715	2678	1062
716	2681	1058
717	2685	1054
718	2689	1051
719	2693	1047
720	2699	1044
721	2703	1041
722	2707	1037
723	2711	1033
724	2716	1030
725	2720	1026
726	2724	1023
727	2728	1019
728	2732	1015
729	2736	1012
730	2740	1008
731	2744	1004
732	2747	1000
733	2751	997
734	2754	993
735	2757	989
736	2760	985
737	2764	981
738	2767	977
739	2771	973
740	2774	969
741	2778	966
742	2783	962
743	2788	959
744	2791	955
745	2796	952
746	2800	948
747	2803	944
748	2807	940
749	2812	937
750	2817	934
751	2823	931
752	2829	928
753	2837	925
754	2843	922
755	2847	919
756	2851	915
757	2855	911
758	2859	907
759	2862	904
760	2866	900
761	2868	896
762	2872	892
763	2875	888
764	2878	884
765	2881	880
766	2884	876
767	2887	872
768	2890	868
769	2894	864
770	2897	860
771	2900	856
772	2903	852
773	2908	849
774	2911	845
775	2914	841
776	2917	837
777	2921	833
778	2925	830
779	2929	826
780	2932	822
781	2935	818
782	2939	814
783	2942	810
784	2945	806
785	2948	802
786	2951	798
787	2954	794
788	2958	791
789	2962	787
790	2966	783
791	2970	780
792	2975	776
793	2979	773
794	2983	769
795	2987	765
796	2990	761
797	2994	757
798	2998	754
799	3001	750
800	3005	746
801	3009	742
802	3012	739
803	3017	735
804	3022	732
805	3025	728
806	3029	724
807	3035	721
808	3040	717
809	3045	714
810	3051	711
811	3055	707
812	3058	703
813	3062	699
814	3066	696
815	3071	692
816	3074	688
817	3077	684
818	3082	681
819	3086	677
820	3090	673
821	3093	669
822	3098	666
823	3102	662
824	3107	659
825	3113	655
826	3118	652
827	3123	648
828	3128	645
829	3133	641
830	3136	637
831	3140	634
832	3144	630
833	3149	626
834	3153	623
835	3156	619
836	3161	615
837	3165	611
838	3169	608
839	3173	604
840	3179	601
841	3183	597
842	3187	593
843	3192	590
844	3197	586
845	3200	582
846	3204	578
847	3210	575
848	3214	571
849	3217	567
850	3222	564
851	3227	560
852	3230	556
853	3233	552
854	3238	549
855	3243	545
856	3247	541
857	3251	538
858	3257	534
859	3261	530
860	3265	527
861	3270	523
862	3275	519
863	3278	516
864	3282	512
865	3288	508
866	3292	505
867	3295	501
868	3299	497
869	3304	493
870	3308	489
871	3311	486
872	3316	482
873	3320	478
874	3324	474
875	3327	471
876	3332	467
877	3336	463
878	3340	459
879	3345	456
880	3349	452
881	3355	448
882	3359	445
883	3363	441
884	3368	437
885	3374	434
886	3379	430
887	3383	426
888	3387	422
889	3390	419
890	3394	415
891	3399	411
892	3403	407
893	3407	403
894	3411	400
895	3416	396
896	3419	392
897	3423	388
898	3428	385
899	3432	381
900	3435	377
901	3439	373
902	3443	369
903	3447	366
904	3450	362
905	3454	358
906	3457	354
907	3462	350
908	3466	347
909	3469	343
910	3473	339
911	3478	335
912	3482	331
913	3486	328
914	3490	324
915	3496	320
916	3499	316
917	3503	312
918	3508	309
919	3512	305
920	3515	301
921	3519	297
922	3523	293
923	3526	290
924	3530	286
925	3533	282
926	3537	278
927	3540	274
928	3543	270
929	3547	267
930	3552	263
931	3559	259
932	3563	255
933	3566	252
934	3570	248
935	3574	244
936	3578	240
937	3582	236
938	3585	232
939	3588	229
940	3592	225
941	3595	221
942	3599	217
943	3602	213
944	3605	209
945	3607	205
946	3611	202
947	3615	198
948	3619	194
949	3622	190
950	3625	186
951	3628	182
952	3631	179
953	3634	175
954	3638	171
955	3641	167
956	3645	163
957	3649	159
958	3653	156
959	3658	152
960	3663	148
961	3668	144
962	3672	141
963	3675	137
964	3679	133
965	3683	129
966	3687	125
967	3690	122
968	3697	118
969	3701	114
970	3704	110
971	3707	106
972	3712	103
973	3715	99
974	3718	95
975	3721	91
976	3725	87
977	3729	83
978	3732	80
979	3735	76
980	3738	72
981	3742	68
982	3746	64
983	3749	60
984	3753	57
985	3756	53
986	3760	49
987	3763	45
988	3766	41
989	3770	38
990	3776	34
991	3779	30
992	3781	26
993	3785	22
994	3788	19
995	3792	15
996	3795	11
997	3798	7
998	3802	3
999	3807	0
